City_ID,city,country,max_temp,weather_description,latitude,longitude,hotel_name
604,Salinas,US,87.57,clear sky,-121.6555,36.6777,Laurel Inn & Conference Center
606,Limon,CR,84.09,clear sky,-83.0333,10.0,Hotel Playa Bonita
617,Conceicao Do Araguaia,BR,87.35,scattered clouds,-49.2647,-8.2578,Tarumã Tropical Hotel
624,Sabang,ID,82.56,light rain,95.3214,5.8933,Hotel Citra
627,Madhipura,IN,84.06,overcast clouds,86.7833,25.9167,SPOT ON 64083 Hotel Ganga
629,Sinor,IN,86.25,few clouds,73.3333,21.9167,Reva Forest Homestay
634,Creel,MX,81.88,overcast clouds,-107.6333,27.75,The Lodge at Creel Hotel & SPA
636,Half Moon Bay,US,85.59,mist,-122.4286,37.4636,"The Ritz-Carlton, Half Moon Bay"
639,Gizo,SB,81.55,light rain,156.8419,-8.103,Imagination Island
648,Monte Alegre,BR,84.06,broken clouds,-54.0692,-2.0078,Hotel Shekinah
651,Acajutla,SV,81.41,overcast clouds,-89.8275,13.5928,Laureles
659,Kutum,SD,82.89,scattered clouds,24.6667,14.2,Dibbo areaمنطقة دبو
661,Cabedelo,BR,83.07,scattered clouds,-34.8339,-6.9811,Pousada Camboinha
662,Mancio Lima,BR,86.07,broken clouds,-72.8958,-7.6142,Motel Asas Do Desejo
665,Semnan,IR,81.99,overcast clouds,53.3971,35.5729,Semnan Tourist Hotel
675,Sakassou,CI,80.44,overcast clouds,-5.2926,7.4546,Parents de Damienne
684,Lubao,PH,82.11,light rain,120.55,14.9167,Hacienda Gracia
686,Mahina,PF,82.17,few clouds,-149.489,-17.5065,Guest Beach Bungalow Tahiti
